data,tipo_movimentacao,observacao
2023-01-31,Concluso para Decisão,Decisão interlocutória - tutela antecipada
2023-02-16,Publicação da Decisão,Decisão interlocutória - indeferimento de tutela
2023-02-20,Concluso para Decisão,Sentença de mérito
2023-03-16,Publicação da Decisão,Sentença - improcedência
2023-03-23,Concluso para Decisão,Decisão interlocutória - produção de provas
2023-04-06,Publicação da Decisão,Decisão - deferiu produção de prova pericial
2023-04-24,Concluso para Decisão,Decisão interlocutória - impugnação laudo
2023-05-11,Publicação da Decisão,Decisão - rejeitou impugnação ao laudo pericial
2023-05-22,Concluso para Decisão,Decisão interlocutória - embargos de declaração
2023-06-01,Publicação da Decisão,Acórdão - rejeitou embargos de declaração
2023-06-12,Concluso para Decisão,Sentença de mérito
2023-07-27,Publicação da Decisão,Sentença - procedência parcial
2023-08-14,Concluso para Decisão,Decisão interlocutória - execução provisória
2023-08-28,Publicação da Decisão,Decisão - deferiu execução provisória
2023-09-04,Concluso para Decisão,Decisão interlocutória - impugnação à execução
2023-09-25,Publicação da Decisão,Decisão - julgou impugnação à execução
2023-10-02,Concluso para Decisão,Sentença de extinção
2023-10-18,Publicação da Decisão,Sentença - extinto sem resolução do mérito
2023-10-30,Concluso para Decisão,Decisão interlocutória - saneamento
2023-11-15,Publicação da Decisão,Decisão de saneamento e organização do processo
2023-11-27,Concluso para Decisão,Decisão interlocutória - tutela antecipada
2023-12-08,Publicação da Decisão,Decisão - deferimento parcial de tutela
2024-01-31,Concluso para Decisão,Sentença de mérito
2024-02-29,Publicação da Decisão,Sentença - improcedência total
2024-03-11,Concluso para Decisão,Decisão interlocutória - exceção de suspeição
2024-03-21,Publicação da Decisão,Decisão - rejeitou exceção de suspeição
2024-04-01,Concluso para Decisão,Sentença de mérito
2024-04-25,Publicação da Decisão,Sentença - procedência total
2024-05-06,Concluso para Decisão,Decisão interlocutória - embargos de declaração
2024-05-15,Publicação da Decisão,Decisão - acolheu embargos com efeito modificativo
2024-05-27,Concluso para Decisão,Sentença de mérito
2024-06-21,Publicação da Decisão,Sentença - improcedência total
2024-07-31,Concluso para Decisão,Decisão interlocutória - liquidação de sentença
2024-08-21,Publicação da Decisão,Decisão - homologou cálculo de liquidação
2024-09-02,Concluso para Decisão,Decisão interlocutória - tutela antecipada
2024-09-12,Publicação da Decisão,Decisão - indeferiu tutela de urgência
2024-09-23,Concluso para Decisão,Sentença de mérito
2024-11-06,Publicação da Decisão,Sentença - procedência parcial
2024-11-18,Concluso para Decisão,Decisão interlocutória - saneamento
2024-12-05,Publicação da Decisão,Decisão de saneamento
2024-12-16,Concluso para Decisão,Decisão interlocutória - produção de provas
2025-01-31,Publicação da Decisão,Decisão - indeferiu prova testemunhal
2025-02-10,Concluso para Decisão,Sentença de mérito
2025-03-14,Publicação da Decisão,Sentença - procedência total
2025-03-24,Concluso para Decisão,Decisão interlocutória - impugnação ao cumprimento
2025-04-10,Publicação da Decisão,Decisão - julgou impugnação ao cumprimento de sentença
2025-04-22,Concluso para Decisão,Decisão interlocutória - tutela antecipada
2025-05-05,Publicação da Decisão,Decisão - deferimento de tutela de urgência
2025-05-15,Concluso para Decisão,Sentença de mérito
2025-06-16,Publicação da Decisão,Sentença - improcedência
2025-07-31,Concluso para Decisão,Decisão interlocutória - embargos à execução
2025-08-20,Publicação da Decisão,Decisão - rejeitou embargos à execução
2025-09-01,Concluso para Decisão,Sentença de mérito
2025-10-13,Publicação da Decisão,Sentença - procedência parcial
2025-10-27,Concluso para Decisão,Decisão interlocutória - saneamento
2025-11-14,Publicação da Decisão,Decisão de saneamento e organização do processo
2025-11-24,Concluso para Decisão,Decisão interlocutória - tutela antecipada
2025-12-09,Publicação da Decisão,Decisão - indeferimento de tutela provisória
2026-02-03,Concluso para Decisão,Aguardando publicação - objeto de análise preditiva
